WJetAlpgen
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -            440.56              6.36         1.0e+00         2.0e-02         3.2e-03         4.7e-05
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -            440.56              6.36         1.0e+00         2.0e-02         3.2e-03         4.7e-05
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -            437.06              6.33         9.9e-01         2.0e-02         3.2e-03         4.6e-05
Pt2ndJet_noOvrlp_ID         30.0000            +inf               -               -            437.06              6.33         1.0e+00         2.0e-02         3.2e-03         4.6e-05
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -            437.06              6.33         1.0e+00         2.0e-02         3.2e-03         4.6e-05
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -            426.39              6.25         9.8e-01         2.0e-02         3.1e-03         4.6e-05
maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -            426.39              6.25         1.0e+00         2.1e-02         3.1e-03         4.6e-05
minDRej_selecPairs          0.7000            +inf               -               -            410.39              6.13         9.6e-01         2.0e-02         3.0e-03         4.5e-05
minDRej_unselPairs          0.7000            +inf               -               -            392.55              6.00         9.6e-01         2.0e-02         2.9e-03         4.4e-05
   Pt1stJet_PAS            -inf            +inf               -               -            392.55              6.00         1.0e+00         2.2e-02         2.9e-03         4.4e-05
  Eta1stJet_PAS            -inf            +inf               -               -            392.55              6.00         1.0e+00         2.2e-02         2.9e-03         4.4e-05
   Pt2ndJet_PAS            -inf            +inf               -               -            392.55              6.00         1.0e+00         2.2e-02         2.9e-03         4.4e-05
  Eta2ndJet_PAS            -inf            +inf               -               -            392.55              6.00         1.0e+00         2.2e-02         2.9e-03         4.4e-05
         sT_PAS            -inf            +inf               -               -            392.55              6.00         1.0e+00         2.2e-02         2.9e-03         4.4e-05
Mej_1stPair_PAS            -inf            +inf               -               -            392.55              6.00         1.0e+00         2.2e-02         2.9e-03         4.4e-05
Mej_2ndPair_PAS            -inf            +inf               -               -            392.55              6.00         1.0e+00         2.2e-02         2.9e-03         4.4e-05
            Mee        100.0000            +inf               -               -            228.10              4.58         5.8e-01         1.5e-02         1.7e-03         3.4e-05
             sT        280.0000            +inf               -               -            122.69              3.36         5.4e-01         1.8e-02         9.0e-04         2.5e-05
   minDeltaR_ej            -inf            +inf               -               -            122.69              3.36         1.0e+00         3.9e-02         9.0e-04         2.5e-05
   maxDeltaR_ej            -inf            +inf               -               -            122.69              3.36         1.0e+00         3.9e-02         9.0e-04         2.5e-05
    Mej_1stPair            -inf            +inf               -               -            122.69              3.36         1.0e+00         3.9e-02         9.0e-04         2.5e-05
    Mej_2ndPair            -inf            +inf               -               -            122.69              3.36         1.0e+00         3.9e-02         9.0e-04         2.5e-05


LQenujj_M300
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -            500.26              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -            483.51              0.27         9.7e-01         5.4e-04         9.7e-01         5.4e-04
      PassBPTX0          0.0000          1.0000               -               -            483.51              0.27         1.0e+00         8.0e-04         9.7e-01         5.4e-04
   PassPhysDecl            -inf            +inf               -               -            483.51              0.27         1.0e+00         8.0e-04         9.7e-01         5.4e-04
PassBeamScraping          0.0000          1.0000               -               -            483.51              0.27         1.0e+00         8.0e-04         9.7e-01         5.4e-04
PassPrimaryVertex          0.0000          1.0000               -               -            483.31              0.27         1.0e+00         8.0e-04         9.7e-01         5.5e-04
PassHBHENoiseFilter            -inf            +inf               -               -            483.31              0.27         1.0e+00         8.0e-04         9.7e-01         5.5e-04
