ZJetMadgraph
             variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
             Pt1stJet_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
            Eta1stJet_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
             Pt2ndJet_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
            Eta2ndJet_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
                  Mjj_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
                sTjet_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
                   sT_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
          Mej_1stPair_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
          Mej_2ndPair_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
                pfMET_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
                tcMET_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
              caloMET_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
                      Mee        125.0000            +inf               -               -          234.1385           93.2466          0.7798          0.4055      2.2522e-07      8.9694e-08
                       sT            -inf            +inf               -               -          234.1385           93.2466          1.0000          0.5632      2.2522e-07      8.9694e-08
                sT_MLQ150        260.0000            +inf               -               -          213.8557           91.0141          0.9134          0.5324      2.0571e-07      8.7546e-08
                sT_MLQ200        340.0000            +inf               -               -           78.5929           37.2286          0.3675          0.2340      7.5598e-08      3.5810e-08
                sT_MLQ250        400.0000            +inf               -               -           13.6278            3.1447          0.1734      9.1364e-02      1.3109e-08      3.0249e-09
                sT_MLQ280        450.0000            +inf               -               -           13.0964            3.0995          0.9610          0.3177      1.2597e-08      2.9815e-09
                sT_MLQ300        470.0000            +inf               -               -           12.3608            3.0110          0.9438          0.3206      1.1890e-08      2.8963e-09
             minDeltaR_ej            -inf            +inf               -               -           12.3608            3.0110          1.0000          0.3445      1.1890e-08      2.8963e-09
             maxDeltaR_ej            -inf            +inf               -               -           12.3608            3.0110          1.0000          0.3445      1.1890e-08      2.8963e-09
              Mej_1stPair            -inf            +inf               -               -           12.3608            3.0110          1.0000          0.3445      1.1890e-08      2.8963e-09
              Mej_2ndPair            -inf            +inf               -               -           12.3608            3.0110          1.0000          0.3445      1.1890e-08      2.8963e-09
                sT_MLQ320        490.0000            +inf               -               -           11.7678            2.9521          0.9520          0.3329      1.1319e-08      2.8396e-09
                sT_MLQ340        510.0000            +inf               -               -           11.7678            2.9521          1.0000          0.3548      1.1319e-08      2.8396e-09
                sT_MLQ370        540.0000            +inf               -               -           11.4924            2.9392          0.9766          0.3499      1.1054e-08      2.8272e-09
                sT_MLQ400        560.0000            +inf               -               -           10.8993            2.8788          0.9484          0.3487      1.0484e-08      2.7691e-09
                sT_MLQ450        620.0000            +inf               -               -            7.6792            2.4209          0.7046          0.2898      7.3866e-09      2.3286e-09
                sT_MLQ500        660.0000            +inf               -               -            5.2659            1.9473          0.6857          0.3332      5.0652e-09      1.8731e-09


LQeejj_M280
             variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
                    nocut               -               -               -               -        60424.0000        0.0000e+00          1.0000      0.0000e+00          1.0000      0.0000e+00
                     skim               -               -               -               -        60269.5528           12.8093          0.9974      2.1199e-04          0.9974      2.1199e-04
                PassBPTX0          0.0000          1.0000               -               -        60269.5528           12.8093          1.0000      3.0057e-04          0.9974      2.1199e-04
             PassPhysDecl            -inf            +inf               -               -        60269.5528           12.8093          1.0000      3.0057e-04          0.9974      2.1199e-04
         PassBeamScraping          0.0000          1.0000               -               -        60267.4225           12.8975          1.0000      3.0160e-04          0.9974      2.1345e-04
        PassPrimaryVertex          0.0000          1.0000               -               -        60252.5104           13.4957          0.9998      3.0971e-04          0.9972      2.2335e-04
                  PassHLT            -inf            +inf               -               -        60252.5104           13.4957          1.0000      3.1676e-04          0.9972      2.2335e-04
                 nEle_all            -inf            +inf               -               -        60252.5104           13.4957          1.0000      3.1676e-04          0.9972      2.2335e-04
               nEle_PtCut            -inf            +inf               -               -        60252.5104           13.4957          1.0000      3.1676e-04          0.9972      2.2335e-04
 nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -        38564.9299          121.8994          0.6401      2.0282e-03          0.6382      2.0174e-03
   Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -        38564.9299          121.8994          1.0000      4.4702e-03          0.6382      2.0174e-03
  Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -        38564.9299          121.8994          1.0000      4.4702e-03          0.6382      2.0174e-03
 mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -        38562.7996          121.9054          0.9999      4.4702e-03          0.6382      2.0175e-03
   Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -        38562.7996          121.9054          1.0000      4.4706e-03          0.6382      2.0175e-03
  Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -        38562.7996          121.9054          1.0000      4.4706e-03          0.6382      2.0175e-03
 mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -        38544.6920          121.9235          0.9995      4.4699e-03          0.6379      2.0178e-03
 maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -        38544.6920          121.9235          1.0000      4.4734e-03          0.6379      2.0178e-03
               Mee_presel         50.0000            +inf               -               -        37951.4018          122.6124          0.9846      4.4519e-03          0.6281      2.0292e-03
           Mee_TwoEleOnly            -inf            +inf               -               -        37951.4018          122.6124          1.0000      4.5690e-03          0.6281      2.0292e-03
      nJet_TwoEleOnly_All            -inf            +inf               -               -        37951.4018          122.6124          1.0000      4.5690e-03          0.6281      2.0292e-03
   nJet_TwoEleOnly_EtaCut            -inf            +inf               -               -        37951.4018          122.6124          1.0000      4.5690e-03          0.6281      2.0292e-03
                 nJet_all            -inf            +inf               -               -        37951.4018          122.6124          1.0000      4.5690e-03          0.6281      2.0292e-03
               nJet_PtCut            -inf            +inf               -               -        37951.4018          122.6124          1.0000      4.5690e-03          0.6281      2.0292e-03
       nJet_PtCut_noOvrlp            -inf            +inf               -               -        37951.4018          122.6124          1.0000      4.5690e-03          0.6281      2.0292e-03
    nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -        36541.1392          124.0323          0.9628      4.5119e-03          0.6047      2.0527e-03
      Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -        36541.1392          124.0323          1.0000      4.8003e-03          0.6047      2.0527e-03
     Eta1stJet_noOvrlp_ID            -inf            +inf               -               -        36541.1392          124.0323          1.0000      4.8003e-03          0.6047      2.0527e-03
    mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -        36480.4255          124.0867          0.9983      4.7974e-03          0.6037      2.0536e-03
      Pt2ndJet_noOvrlp_ID         30.0000            +inf               -               -        36480.4255          124.0867          1.0000      4.8104e-03          0.6037      2.0536e-03
     Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -        36480.4255          124.0867          1.0000      4.8104e-03          0.6037      2.0536e-03
    mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -        36020.2794          124.4795          0.9874      4.7878e-03          0.5961      2.0601e-03
   maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -        36020.2794          124.4795          1.0000      4.8873e-03          0.5961      2.0601e-03
       minDRej_selecPairs          0.7000            +inf               -               -        35637.8894          124.7816          0.9894      4.8674e-03          0.5898      2.0651e-03
       minDRej_unselPairs          0.7000            +inf               -               -        34228.6920          125.7182          0.9605      4.8738e-03          0.5665      2.0806e-03
           sT_preliminary        250.0000            +inf               -               -        34158.3919          125.7605          0.9979      5.1898e-03          0.5653      2.0813e-03
             nJet_PAS_All            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
          nJet_PAS_EtaCut            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
             Pt1stEle_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
            Eta1stEle_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
             Pt2ndEle_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
            Eta2ndEle_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
                  Mee_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
                sTele_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
             Pt1stJet_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
            Eta1stJet_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
             Pt2ndJet_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
            Eta2ndJet_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
                  Mjj_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
                sTjet_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
                   sT_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
          Mej_1stPair_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
          Mej_2ndPair_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
                pfMET_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
                tcMET_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
              caloMET_PAS            -inf            +inf               -               -        34158.3919          125.7605          1.0000      5.2067e-03          0.5653      2.0813e-03
                      Mee        125.0000            +inf               -               -        29161.7591          126.7696          0.8537      4.8634e-03          0.4826      2.0980e-03
                       sT            -inf            +inf               -               -        29161.7591          126.7696          1.0000      6.1478e-03          0.4826      2.0980e-03
                sT_MLQ150        260.0000            +inf               -               -        29153.2379          126.7696          0.9997      6.1469e-03          0.4825      2.0980e-03
                sT_MLQ200        340.0000            +inf               -               -        28610.0099          126.6668          0.9814      6.0900e-03          0.4735      2.0963e-03
                sT_MLQ250        400.0000            +inf               -               -        27026.1273          126.1351          0.9446      6.0769e-03          0.4473      2.0875e-03
                sT_MLQ280        450.0000            +inf               -               -        24365.3751          124.4432          0.9015      6.2375e-03          0.4032      2.0595e-03
                sT_MLQ300        470.0000            +inf               -               -        22894.3988          123.0656          0.9396      6.9672e-03          0.3789      2.0367e-03
             minDeltaR_ej            -inf            +inf               -               -        22894.3988          123.0656          1.0000      7.6019e-03          0.3789      2.0367e-03
             maxDeltaR_ej            -inf            +inf               -               -        22894.3988          123.0656          1.0000      7.6019e-03          0.3789      2.0367e-03
              Mej_1stPair            -inf            +inf               -               -        22894.3988          123.0656          1.0000      7.6019e-03          0.3789      2.0367e-03
              Mej_2ndPair            -inf            +inf               -               -        22894.3988          123.0656          1.0000      7.6019e-03          0.3789      2.0367e-03
                sT_MLQ320        490.0000            +inf               -               -        21226.3692          121.1018          0.9271      7.2675e-03          0.3513      2.0042e-03
                sT_MLQ340        510.0000            +inf               -               -        19455.0197          118.5338          0.9165      7.6504e-03          0.3220      1.9617e-03
                sT_MLQ370        540.0000            +inf               -               -        16681.3613          113.4098          0.8574      7.8277e-03          0.2761      1.8769e-03
                sT_MLQ400        560.0000            +inf               -               -        14824.7996          109.1620          0.8887      8.9066e-03          0.2453      1.8066e-03
